"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_020700",81.4410635212421,1.68677252818201,0.457706158906871,3.68527382766816,0.000228456882731566,0.0009338864516337
"NM_003642",1048.97727211252,-1.14197510578008,0.153383666075915,-7.44521978771115,9.67831519948268e-14,1.57253069839675e-12
"NM_001173989",1592.17594289485,-1.29064186046307,0.142927164941465,-9.03006689450283,1.7156688691535e-19,4.89315453807953e-18
"NM_000585",116.651870507622,1.40393284279964,0.403363574996958,3.480564259701,0.00050035878173347,0.00188005633813916
"NM_000584",69.9735104070946,2.04819027276524,0.531717037198052,3.85203055286404,0.000117142402685096,0.000512872650623601
"NM_001193520",48.0294199431608,1.80343563229055,0.599705820340934,3.00720048250539,0.00263665810859074,0.00826099954079955
"NM_001099222",82.4045567977673,1.53072549544013,0.478734195190641,3.19744340558452,0.00138651615691293,0.00465660416369621
"NM_000338",32.1531589577559,2.60060163383497,0.742006475317336,3.50482336791301,0.000456910312690367,0.00173454882645625
"NM_024080",181.38331399443,1.99928873274195,0.364433123547246,5.48602364483687,4.11081897490526e-08,3.26138488882064e-07
"NM_001278235",52.9593216949874,2.81451221018942,0.587468812227674,4.79091340954225,1.66023769274479e-06,1.05410512755659e-05
"NM_178441",269.80684318763,1.31815671737422,0.372357873453251,3.54002644055737,0.000400086946452541,0.00154470468944788
"NM_001017963",31270.2818359385,-1.03160329616446,0.0886940479059115,-11.6310318507371,2.86611866200148e-31,2.18497401600118e-29
"NM_015364",66.4707038504554,1.82916592402359,0.586156398372323,3.12061069213427,0.00180476454793453,0.00589692060446898
"NM_001282517",682.318498595031,-1.22098802686579,0.180792535715788,-6.75353117888244,1.44289479450116e-11,1.79502584817853e-10
"NM_001282516",709.506847576029,-1.25787094176452,0.182394101483695,-6.89644528815517,5.33198868643912e-12,7.08824000129888e-11
"NM_000435",41.3281419705727,3.09384084790605,0.73806731348005,4.19181393268634,2.76732920571392e-05,0.000140666373640421
"NM_005194",570.063662667974,1.30276965662221,0.297165174141087,4.38399169885123,1.16524215199508e-05,6.38185312765301e-05
"NM_005192",787.605287771768,-1.60210151859859,0.169895572455401,-9.42991918767717,4.10405042638907e-21,1.34725924762615e-19
"NM_005191",1051.48528558843,1.47650752881394,0.167461411525007,8.81700157288747,1.17565590988555e-18,3.0774634887655e-17
"NM_000433",407.800072222535,1.14573562301085,0.21921651604807,5.22650228945165,1.72746681279868e-07,1.26219247864062e-06
"NM_001282716",403.097569361917,1.20170159499663,0.237546716972221,5.05880110789809,4.21900633127058e-07,2.90953167595511e-06
"NM_024628",154.107641158266,1.12538777214894,0.329940819245717,3.41087766806698,0.000647541370494061,0.00237051131431093
"NM_001127460",1912.51918826515,1.30231516809375,0.128696059645001,10.1193087938053,4.53607621413386e-24,1.87089881903719e-22
"NM_001127242",741.363232178129,1.50256122011777,0.285354506318266,5.26559485428946,1.39736146575077e-07,1.03462636857694e-06
"NM_001127241",798.518139467038,1.38909479322552,0.304091992437551,4.56800845721311,4.92380170404068e-06,2.87483892233562e-05
"NM_001145427",43.7879006365863,1.51286896327219,0.603827700219358,2.50546465940962,0.0122290618692405,0.0313606134247912
"NM_001565",259.918348451284,1.25676609446134,0.277739280646715,4.52498505625478,6.03997733520259e-06,3.48042469730973e-05
"NM_001226",320.351131543359,-1.03058061455261,0.25709518749509,-4.00855661513421,6.10909939539495e-05,0.000284463506512159
"NM_001223",756.962859096043,1.10800410830075,0.173425128675988,6.38894788062022,1.67030971992427e-10,1.83648441557361e-09
"NM_016223",151.086340161264,1.55664901557117,0.378665275950286,4.11088397705508,3.941472301311e-05,0.000192152000917527
"NM_001242923",7692.04615790363,1.00935330010003,0.116026833763696,8.6993091801136,3.33910624156759e-18,8.41208981186146e-17
"NM_001198557",6071.46701455944,-1.71778832293976,0.0963279131864464,-17.8327160437382,3.93816350971489e-71,4.52480922396564e-68
"NR_015415",201.747973881102,2.28294809554855,0.334033853792646,6.83448120490718,8.23023251733598e-12,1.05825263914954e-10
"NM_001877",2412.85537617111,1.40096925681366,0.120253831221692,11.6501008124301,2.29187532815002e-31,1.76392155937594e-29
"NM_000169",343.052887130493,-1.06312704180302,0.229857771202592,-4.62515161545702,3.74324485945295e-06,2.22759767616465e-05
"NM_001034954",90.807795047984,1.5671781143424,0.471306019344074,3.32518162302165,0.000883609537447156,0.00312003099870623
"NM_201650",84.015637741535,1.59661973956168,0.463054450775538,3.44801726209005,0.000564717944470247,0.00209617410771343
"NM_201649",390.281701495422,2.02816270878071,0.22212532164039,9.13071366111156,6.8049207093121e-20,2.03458275222379e-18
